Genus,nitrification,anammox,denitrification,nitrogen_fixation,nitrate_reduction
Paracoccus,1,0,1,0,1
Thiobacillus,1,0,1,0,1
Nitrobacter,1,0,0,0,1
Candidatus_Caldiarchaeum,1,0,0,0,0
Candidatus_Nitrocosmicus,1,0,0,0,0
Candidatus_Nitrosocaldus,1,0,0,0,0
Candidatus_Nitrosopelagicus,1,0,0,0,0
Candidatus_Nitrosopumilus,1,0,0,0,0
Candidatus_Nitrososphaera,1,0,0,0,0
Candidatus_Nitrosotalea,1,0,0,0,0
Candidatus_Nitrosotenuis,1,0,0,0,0
Candidatus_Nitrotoga,1,0,0,0,0
Cenarchaeum,1,0,0,0,0
Geothermarchaeaceae_ge,1,0,0,0,0
Group_1.1c_ge,1,0,0,0,0
Marine_Benthic_Group_A_ge,1,0,0,0,0
Nitrococcus,1,0,0,0,0
Nitrolancea,1,0,0,0,0
Nitrosarchaeum,1,0,0,0,0
Nitrosococcus,1,0,0,0,0
Nitrosopumilaceae_ge,1,0,0,0,0
Nitrososphaeraceae_ge,1,0,0,0,0
Nitrosotaleaceae_ge,1,0,0,0,0
Nitrospina,1,0,0,0,0
Nitrospira,1,0,0,0,0
Pseudonocardia,1,0,0,0,0
SCGC_AB-179-E04_ge,1,0,0,0,0
Terrestrial_Hot_Spring_Gp(THSCG)_ge,1,0,0,0,0
Thiomonas,1,0,0,0,0
uncultured_ge,1,0,0,0,0
Pseudomonas,0,1,1,0,1
Candidatus_Anammoximicrobium,0,1,0,0,0
Candidatus_Brocadia,0,1,0,0,0
Candidatus_Jettenia,0,1,0,0,0
Candidatus_Kuenenia,0,1,0,0,0
Arcobacter,0,0,1,1,1
Azoarcus,0,0,1,1,1
Azospirillum,0,0,1,1,1
Bradyrhizobium,0,0,1,1,1
Magnetospirillum,0,0,1,1,1
Rhodobacter,0,0,1,1,1
Achromobacter,0,0,1,0,1
Acidovorax,0,0,1,0,1
Alcaligenes,0,0,1,0,1
Aquaspirillum,0,0,1,0,1
Aquifex,0,0,1,0,1
Aquitalea,0,0,1,0,1
Bacillus,0,0,1,0,1
Brachymonas,0,0,1,0,1
Comamonas,0,0,1,0,1
Costertonia,0,0,1,0,1
Dechloromonas,0,0,1,0,1
Dechlorosoma,0,0,1,0,1
Denitratisoma,0,0,1,0,1
Desulfococcus,0,0,1,0,1
Desulfosarcina,0,0,1,0,1
Dinoroseobacter,0,0,1,0,1
Ferrimonas,0,0,1,0,1
Flavobacterium,0,0,1,0,1
Geobacillus,0,0,1,0,1
Georgfuchsia,0,0,1,0,1
Halothermothrix,0,0,1,0,1
Herminiimonas,0,0,1,0,1
Hydrogenophaga,0,0,1,0,1
Hyphomonas,0,0,1,0,1
Iamia,0,0,1,0,1
Marinobacter,0,0,1,0,1
Micrococcus,0,0,1,0,1
Microvirgula,0,0,1,0,1
Nisaea,0,0,1,0,1
Nitratifractor,0,0,1,0,1
Nitratiruptor,0,0,1,0,1
Nocardioides,0,0,1,0,1
Pannonibacter,0,0,1,0,1
Persephonella,0,0,1,0,1
Propionibacterium,0,0,1,0,1
Pseudovibrio,0,0,1,0,1
Psychromonas,0,0,1,0,1
Rhodobium,0,0,1,0,1
Rhodoplanes,0,0,1,0,1
Rubrimonas,0,0,1,0,1
Ruegeria,0,0,1,0,1
Rugamonas,0,0,1,0,1
Shewanella,0,0,1,0,1
Snuella,0,0,1,0,1
Steroidobacter,0,0,1,0,1
Sulfuricella,0,0,1,0,1
Sulfurihydrogenibium,0,0,1,0,1
Sulfurimonas,0,0,1,0,1
Thauera,0,0,1,0,1
Thiohalomonas,0,0,1,0,1
Thiomicrospira,0,0,1,0,1
Vogesella,0,0,1,0,1
Zobellella,0,0,1,0,1
Zoogloea,0,0,1,0,1
Zunongwangia,0,0,1,0,1
Candidatus_Methylomirabilis,0,0,1,0,0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0,0,1,1
Azospira,0,0,0,1,1
Clostridium,0,0,0,1,1
Desulfitobacterium,0,0,0,1,1
Enterobacter,0,0,0,1,1
Herbaspirillum,0,0,0,1,1
Moorella,0,0,0,1,1
Paenibacillus,0,0,0,1,1
Rhodoferax,0,0,0,1,1
Rhodopseudomonas,0,0,0,1,1
Allochromatium,0,0,0,1,0
Anabaena_BECID22,0,0,0,1,0
Anaerobacillus,0,0,0,1,0
Anaerobacter,0,0,0,1,0
Azotobacter,0,0,0,1,0
Azovibrio,0,0,0,1,0
Beggiatoa,0,0,0,1,0
Beijerinckia,0,0,0,1,0
Candidatus_Methylacidiphilum,0,0,0,1,0
Cellvibrio,0,0,0,1,0
Chlorobium,0,0,0,1,0
Cohnella,0,0,0,1,0
Crocosphaera,0,0,0,1,0
Derxia,0,0,0,1,0
Desulfomonile,0,0,0,1,0
Diplosphaera,0,0,0,1,0
Ensifer,0,0,0,1,0
Gluconacetobacter,0,0,0,1,0
Heliobacterium,0,0,0,1,0
Heliorestis,0,0,0,1,0
Lamprocystis,0,0,0,1,0
Leptospirillum,0,0,0,1,0
Magnetococcus,0,0,0,1,0
Magnetospira,0,0,0,1,0
Mangrovibacterium,0,0,0,1,0
Marichromatium,0,0,0,1,0
Marinobacterium,0,0,0,1,0
Mesorhizobium,0,0,0,1,0
Methanococcus,0,0,0,1,0
Methanosarcina,0,0,0,1,0
Methanospirillum,0,0,0,1,0
Methanothermobacter,0,0,0,1,0
Methanothermococcus,0,0,0,1,0
Methylobacter,0,0,0,1,0
Methylocapsa,0,0,0,1,0
Methylocella,0,0,0,1,0
Methylocystis,0,0,0,1,0
Methyloglobulus,0,0,0,1,0
Methylomonas,0,0,0,1,0
Methylovirgula,0,0,0,1,0
Niveispirillum,0,0,0,1,0
Orenia,0,0,0,1,0
Phaeospirillum,0,0,0,1,0
Pleomorphomonas,0,0,0,1,0
Pontibacter,0,0,0,1,0
Rhodopila,0,0,0,1,0
Rhodospirillum,0,0,0,1,0
Rubrivivax,0,0,0,1,0
Sphingomonas,0,0,0,1,0
Telmatospirillum,0,0,0,1,0
Thiococcus,0,0,0,1,0
Thiocystis,0,0,0,1,0
Thiorhodococcus,0,0,0,1,0
Tistlia,0,0,0,1,0
Treponema,0,0,0,1,0
Trichodesmium_IMS101,0,0,0,1,0
Xanthobacter,0,0,0,1,0
Acidilobus,0,0,0,0,1
Acinetobacter,0,0,0,0,1
Aeromonas,0,0,0,0,1
Aeropyrum,0,0,0,0,1
Alicycliphilus,0,0,0,0,1
Alishewanella,0,0,0,0,1
Ammonifex,0,0,0,0,1
Anaeromyxobacter,0,0,0,0,1
ANME-2c_ge,0,0,0,0,1
Anoxybacillus,0,0,0,0,1
Aquabacterium,0,0,0,0,1
Aquamicrobium,0,0,0,0,1
Ardenticatena,0,0,0,0,1
Arhodomonas,0,0,0,0,1
Arthrobacter,0,0,0,0,1
Bilophila,0,0,0,0,1
Brucella,0,0,0,0,1
Caldisphaera,0,0,0,0,1
Calditerrivibrio,0,0,0,0,1
Caldithrix,0,0,0,0,1
Caldivirga,0,0,0,0,1
Caminibacter,0,0,0,0,1
Campylobacter,0,0,0,0,1
Candidatus_Methanoperedens,0,0,0,0,1
Carboxydothermus,0,0,0,0,1
Celeribacter,0,0,0,0,1
Chrysiogenes,0,0,0,0,1
Citrobacter,0,0,0,0,1
Deferribacter,0,0,0,0,1
Denitrobacterium,0,0,0,0,1
Denitrovibrio,0,0,0,0,1
Desulfobacterium,0,0,0,0,1
Desulfobulbus,0,0,0,0,1
Desulforhopalus,0,0,0,0,1
Desulfosporosinus,0,0,0,0,1
Desulfotomaculum,0,0,0,0,1
Desulfovibrio,0,0,0,0,1
Desulfurispirillum,0,0,0,0,1
Desulfurobacterium,0,0,0,0,1
Desulfurococcus,0,0,0,0,1
Desulfuromusa,0,0,0,0,1
Diaphorobacter,0,0,0,0,1
Escherichia-Shigella,0,0,0,0,1
Ferribacterium,0,0,0,0,1
Ferroglobus,0,0,0,0,1
Ferrovibrio,0,0,0,0,1
Garciella,0,0,0,0,1
Gemmobacter,0,0,0,0,1
Geoalkalibacter,0,0,0,0,1
Geobacter,0,0,0,0,1
Geothermobacter,0,0,0,0,1
Geothrix,0,0,0,0,1
Geovibrio,0,0,0,0,1
Gillisia,0,0,0,0,1
Gracilibacillus,0,0,0,0,1
Haloarcula,0,0,0,0,1
Halobacterium,0,0,0,0,1
Halogeometricum,0,0,0,0,1
Halothiobacillus,0,0,0,0,1
Hydrogenophilus,0,0,0,0,1
Ideonella,0,0,0,0,1
Ignicoccus,0,0,0,0,1
Ignisphaera,0,0,0,0,1
Intrasporangium,0,0,0,0,1
Klebsiella,0,0,0,0,1
Lactobacillus,0,0,0,0,1
Microbacterium,0,0,0,0,1
Microlunatus,0,0,0,0,1
Micropruina,0,0,0,0,1
Mizugakiibacter,0,0,0,0,1
Natranaerobius,0,0,0,0,1
Nautilia,0,0,0,0,1
Oceanithermus,0,0,0,0,1
Ottowia,0,0,0,0,1
Pasteurella,0,0,0,0,1
Pectobacterium,0,0,0,0,1
Petrimonas,0,0,0,0,1
Phaeobacter,0,0,0,0,1
Proteus,0,0,0,0,1
Pyrobaculum,0,0,0,0,1
Pyrodictium,0,0,0,0,1
Ralstonia,0,0,0,0,1
Rhabdothermus,0,0,0,0,1
Rhizomicrobium,0,0,0,0,1
Schlesneria,0,0,0,0,1
Serratia,0,0,0,0,1
Skermania,0,0,0,0,1
Slackia,0,0,0,0,1
Staphylothermus,0,0,0,0,1
Starkeya,0,0,0,0,1
Stenotrophomonas,0,0,0,0,1
Streptomyces,0,0,0,0,1
Sulfophobococcus,0,0,0,0,1
Sulfuriferula,0,0,0,0,1
Sulfuritalea,0,0,0,0,1
Sulfurospirillum,0,0,0,0,1
Sulfurovum,0,0,0,0,1
SUP05_cluster,0,0,0,0,1
Tateyamaria,0,0,0,0,1
Tepidibacillus,0,0,0,0,1
Thalassospira,0,0,0,0,1
Thermanaeromonas,0,0,0,0,1
Thermocladium,0,0,0,0,1
Thermodesulfobium,0,0,0,0,1
Thermodesulfovibrio,0,0,0,0,1
Thermogladius,0,0,0,0,1
Thermoproteus,0,0,0,0,1
Thermosphaera,0,0,0,0,1
Thermovenabulum,0,0,0,0,1
Thermovibrio,0,0,0,0,1
Thioalbus,0,0,0,0,1
Thioalkalivibrio,0,0,0,0,1
Thiolapillus,0,0,0,0,1
Thiomargarita,0,0,0,0,1
Thioploca,0,0,0,0,1
Thioprofundum,0,0,0,0,1
Thioreductor,0,0,0,0,1
Virgibacillus,0,0,0,0,1
Vulcanisaeta,0,0,0,0,1
Vulcanithermus,0,0,0,0,1
Wolinella,0,0,0,0,1