Genus,Metabolism,Silvatax_Genus,S_reduction,S_oxidation_dark,anoxygenic_photoautotrophy_S_oxidizing
Dissulfurimicrobium,S_Reduction,Bacteria;Desulfobacterota;Dissulfuribacteria;Dissulfuribacterales;Dissulfuribacteraceae;Dissulfurimicrobium,1,0,0
Dissulfurirhabdus,S_Reduction,Bacteria;Desulfobacterota;Dissulfuribacteria;Dissulfuribacterales;Dissulfuribacteraceae;Dissulfurirhabdus,1,0,0
SEEP-SRB2,S_Reduction,Bacteria;Desulfobacterota;Dissulfuribacteria;Dissulfuribacterales;Dissulfuribacteraceae;SEEP-SRB2,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Dissulfuribacteria;Dissulfuribacterales;Dissulfuribacteraceae;uncultured,1,0,0
Incertae_Sedis_ge,S_Reduction,Bacteria;Desulfobacterota;Incertae_Sedis;Incertae_Sedis_or;Incertae_Sedis_fa;Incertae_Sedis_ge,1,0,0
Smithella,S_Reduction,Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Smithellaceae;Smithella,1,0,0
Syntrophus,S_Reduction,Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus,1,0,0
Syntrophales_ge,S_Reduction,Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophales_fa;Syntrophales_ge,1,0,0
uncultured_ge,S_Reduction,Bacteria;Desulfobacterota;Syntrophia;Syntrophales;uncultured;uncultured_ge,1,0,0
Desulfacinum,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfacinum,1,0,0
Desulfoglaeba,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfoglaeba,1,0,0
Desulforhabdus,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulforhabdus,1,0,0
Desulfovirga,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfovirga,1,0,0
Syntrophobacter,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter,1,0,0
Syntrophobacteraceae_ge,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacteraceae_ge,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;uncultured,1,0,0
Thermodesulforhabdus,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Thermodesulforhabdaceae;Thermodesulforhabdus,1,0,0
uncultured_ge,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;uncultured;uncultured_ge,1,0,0
Syntrophorhabdus,S_Reduction,Bacteria;Desulfobacterota;Syntrophorhabdia;Syntrophorhabdales;Syntrophorhabdaceae;Syntrophorhabdus,1,0,0
Caldimicrobium,S_Reduction,Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Caldimicrobium,1,0,0
Geothermobacterium,S_Reduction,Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Geothermobacterium,1,0,0
Thermodesulfatator,S_Reduction,Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfatator,1,0,0
Thermodesulfobacterium,S_Reduction,Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfobacterium,1,0,0
Thermosulfurimonas,S_Reduction,Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermosulfurimonas,1,0,0
Thermosulfuriphilus,S_Reduction,Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermosulfuriphilus,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;uncultured,1,0,0
uncultured_ge,S_Reduction,Bacteria;Desulfobacterota;uncultured;uncultured_or;uncultured_fa;uncultured_ge,1,0,0
Alicyclobacillus,S_Oxidation,Bacteria;Firmicutes;Bacilli;Alicyclobacillales;Alicyclobacillaceae;Alicyclobacillus,0,1,0
Tumebacillus,S_Oxidation,Bacteria;Firmicutes;Bacilli;Alicyclobacillales;Alicyclobacillaceae;Tumebacillus,0,1,0
Bacillus,S_Reduction_S_Oxidation,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,1,0
Desulfuribacillus,S_Reduction,Bacteria;Firmicutes;Bacilli;Desulfuribacillales;Desulfuribacillaceae;Desulfuribacillus,1,0,0
Clostridium,S_Reduction,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,1,0,0
Garciella,S_Reduction,Bacteria;Firmicutes;Clostridia;Eubacteriales;Garciellaceae;Garciella,1,0,0
A2,S_Oxidation,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;A2,0,1,0
Desulfitispora,S_Reduction,Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Desulfitispora,1,0,0
Sporanaerobacter,S_Reduction,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family_XI;Sporanaerobacter,1,0,0
Fusibacter,S_Reduction,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Fusibacteraceae;Fusibacter,1,0,0
Alkaliphilus,S_Reduction,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcales-Tissierellales_fa;Alkaliphilus,1,0,0
Desulfitobacterium,S_Reduction,Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfitobacterium,1,0,0
Desulfosporosinus,S_Reduction,Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus,1,0,0
Ammonifex,S_Reduction,Bacteria;Firmicutes;Desulfotomaculia;Ammonifexales;Ammonificaceae;Ammonifex,1,0,0
Carboxydothermus,S_Reduction_S_Oxidation,Bacteria;Firmicutes;Desulfotomaculia;Carboxydothermales;Carboxydothermaceae;Carboxydothermus,1,1,0
Desulfotomaculum,S_Reduction,Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Desulfotomaculaceae;Desulfotomaculum,1,0,0
Thermolithobacter,S_Reduction,Bacteria;Firmicutes;Incertae_Sedis;Thermolithobacterales;Thermolithobacteraceae;Thermolithobacter,1,0,0
Sulfobacillus,S_Oxidation,Bacteria;Firmicutes;Sulfobacillia;Sulfobacillales;Sulfobacillaceae;Sulfobacillus,0,1,0
Thermacetogenium,S_Reduction,Bacteria;Firmicutes;Thermacetogenia;Thermacetogeniales;Thermacetogeniaceae;Thermacetogenium,1,0,0
Thermoanaerobacterium,S_Reduction,Bacteria;Firmicutes;Thermoanaerobacteria;Thermoanaerobacterales;Family_III;Thermoanaerobacterium,1,0,0
Caldanaerobacter,S_Reduction,Bacteria;Firmicutes;Thermoanaerobacteria;Thermoanaerobacterales;Thermoanaerobacteraceae;Caldanaerobacter,1,0,0
Thermanaeromonas,S_Reduction,Bacteria;Firmicutes;Thermoanaerobacteria;Thermoanaerobacterales;Thermoanaerobacteraceae;Thermanaeromonas,1,0,0
Thermoanaerobacter,S_Reduction,Bacteria;Firmicutes;Thermoanaerobacteria;Thermoanaerobacterales;Thermoanaerobacteraceae;Thermoanaerobacter,1,0,0
Thermovenabulum,S_Reduction,Bacteria;Firmicutes;Thermovenabulia;Thermovenabulales;Thermovenabulales_fa;Thermovenabulum,1,0,0
Halanaerobium,S_Reduction,Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium,1,0,0
Halarsenatibacter,S_Reduction,Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halarsenatibacter,1,0,0
Halothermothrix,S_Oxidation,Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halothermothrix,0,1,0
Thermodesulfovibrio,S_Reduction,Bacteria;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionales;Thermodesulfovibrionaceae;Thermodesulfovibrio,1,0,0
Acidicaldus,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidicaldus,0,1,0
Acidiphilium,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidiphilium,0,1,0
Rhodopila,Photo_S_Ox,Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodopila,0,0,1
Elioraea,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Elioraeaceae;Elioraea,0,1,0
Bosea,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Bosea,0,1,0
Methylobacterium-Methylorubrum,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum,0,1,0
Rhodobium,Photo_S_Ox,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;Rhodobium,0,0,1
Pseudaminobacter,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudaminobacter,0,1,0
Rhodomicrobium,Photo_S_Ox,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodomicrobiaceae;Rhodomicrobium,0,0,1
Ancylobacter,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Ancylobacter,0,1,0
Blastochloris,Photo_S_Ox,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Blastochloris,0,0,1
Rhodoplanes,Photo_S_Ox,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Rhodoplanes,0,0,1
Rhodopseudomonas,S_Oxidation_both,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Rhodopseudomonas,0,1,1
Starkeya,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Starkeya,0,1,0
Xanthobacter,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter,0,1,0
Citreicella,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Citreicella,0,1,0
Paracoccus,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus,0,1,0
Rhodobacter,S_Oxidation_both,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter,0,1,1
Rhodovulum,S_Oxidation_both,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum,0,1,1
Sulfitobacter,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter,0,1,0
Tateyamaria,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tateyamaria,0,1,0
Thioclava,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thioclava,0,1,0
Magnetospira,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;Magnetospira,0,1,0
Magnetovibrio,S_Oxidation,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;Magnetovibrio,0,1,0
Rhodospirillum,Photo_S_Ox,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum,0,0,1
Roseospira,Photo_S_Ox,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Roseospira,0,0,1
Roseospirillum,Photo_S_Ox,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Roseospirillum,0,0,1
Sulfurifustis,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Sulfurifustis,0,1,0
Acidithiobacillus,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus,0,1,0
Thermithiobacillus,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;Thermithiobacillus,0,1,0
Thiolapillus,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;Thiolapillus,0,1,0
Beggiatoa,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Beggiatoales;Beggiatoaceae;Beggiatoa,0,1,0
Thiomargarita,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Beggiatoales;Beggiatoaceae;Thiomargarita,0,1,0
Thioploca,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Beggiatoales;Beggiatoaceae;Thioploca,0,1,0
Alcaligenes,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes,0,1,0
Limnobacter,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter,0,1,0
Hydrogenophaga,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga,0,1,0
Tepidimonas,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Tepidimonas,0,1,0
Thiomonas,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Thiomonas,0,1,0
Hydrogenophilus,S_Reduction,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;Hydrogenophilus,1,0,0
Thiobacillus,S_Reduction_S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;Thiobacillus,1,1,0
Azoarcus,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Azoarcus,0,1,0
Dechloromonas,S_Reduction_S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Dechloromonas,1,1,0
Sulfuritalea,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea,0,1,0
Sulfuricella,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sulfuricellaceae;Sulfuricella,0,1,0
Sulfuriferula,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sulfuricellaceae;Sulfuriferula,0,1,0
Achromatium,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Achromatium,0,0,1
Allochromatium,S_Oxidation_both,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium,0,1,1
Candidatus_Thiobios,S_Oxidation_both,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Candidatus_Thiobios,0,1,1
Chromatium,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Chromatium,0,0,1
Halochromatium,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Halochromatium,0,0,1
Lamprocystis,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Lamprocystis,0,0,1
Marichromatium,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium,0,0,1
Phaeochromatium,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Phaeochromatium,0,0,1
Rhabdochromatium,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Rhabdochromatium,0,0,1
Thioalkalicoccus,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thioalkalicoccus,0,0,1
Thiocapsa,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiocapsa,0,0,1
Thiococcus,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiococcus,0,0,1
Thiocystis,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiocystis,0,0,1
Thiodictyon,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiodictyon,0,0,1
Thioflavicoccus,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thioflavicoccus,0,0,1
Thiohalobacter,S_Oxidation_both,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiohalobacter,0,1,1
Thiohalocapsa,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiohalocapsa,0,0,1
Thiolamprovum,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiolamprovum,0,0,1
Thiorhodococcus,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiorhodococcus,0,0,1
Thiorhodovibrio,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiorhodovibrio,0,0,1
uncultured,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;uncultured,0,0,1
Ectothiorhodospira,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Ectothiorhodospira,0,0,1
Halofilum,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Halofilum,0,0,1
Thioalbus,S_Oxidation_both,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thioalbus,0,1,1
Thioalkalivibrio,S_Reduction_S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thioalkalivibrio,1,1,1
Thiogranum,S_Oxidation_both,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thiogranum,0,1,1
Thiohalomonas,S_Oxidation_both,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thiohalomonas,0,1,1
Thiohalospira,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thiohalospira,0,0,1
Thiorhodospira,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thiorhodospira,0,0,1
uncultured,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;uncultured,0,0,1
Thioalkalispira-Sulfurivermis,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Thioalkalispiraceae;Thioalkalispira-Sulfurivermis,0,0,1
Thiohalophilus,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Thioalkalispiraceae;Thiohalophilus,0,0,1
uncultured,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Thioalkalispiraceae;uncultured,0,0,1
Alishewanella,S_Reduction,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Alishewanella,1,0,0
Klebsiella,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella,0,1,0
Salmonella,S_Reduction,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella,1,0,0
Ferrimonas,S_Reduction,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Shewanellaceae;Ferrimonas,1,0,0
Shewanella,S_Reduction,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Shewanellaceae;Shewanella,1,0,0
Catenococcus,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Catenococcus,0,1,0
Thioprofundum,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_or;Thioprofundaceae;Thioprofundum,0,1,0
Halothiobacillus,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Halothiobacillales;Halothiobacillaceae;Halothiobacillus,0,1,0
Halorhodospira,Photo_S_Ox,Bacteria;Proteobacteria;Gammaproteobacteria;Nitrococcales;Halorhodospiraceae;Halorhodospira,0,0,1
Sulfurivirga,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Nitrococcales;Halorhodospiraceae;Sulfurivirga,0,1,0
Acinetobacter,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,0,1,0
Pseudomonas,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,0,1,0
Candidatus_Thioglobus,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Thioglobaceae;Candidatus_Thioglobus,0,1,0
SUP05_cluster,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Thioglobaceae;SUP05_cluster,0,1,0
Salinisphaera,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae;Salinisphaera,0,1,0
Hydrogenovibrio,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thiomicrospiraceae;Hydrogenovibrio,0,1,0
Thioalkalimicrobium,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thiomicrospiraceae;Thioalkalimicrobium,0,1,0
Thiomicrospira,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thiomicrospiraceae;Thiomicrospira,0,1,0
Thiothrix,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix,0,1,0
Dyella,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dyella,0,1,0
Rhodanobacter,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter,0,1,0
Xanthomonas,S_Oxidation,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas,0,1,0
Spirochaeta,Photo_S_Ox,Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta,0,0,1
Dethiosulfovibrio,S_Reduction,Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Dethiosulfovibrio,1,0,0
Thermodesulfobium,S_Reduction,Bacteria;Thermodesulfobiota;Thermodesulfobiia;Thermodesulfobiales;Thermodesulfobiaceae;Thermodesulfobium,1,0,0
Thermosulfidibacter,S_Reduction,Bacteria;Thermosulfidibacterota;Thermosulfidibacteria;Thermosulfidibacterales;Thermosulfidibacteraceae;Thermosulfidibacter,1,0,0
Defluviitoga,S_Reduction,Bacteria;Thermotogota;Thermotogae;Petrotogales;Petrotogaceae;Defluviitoga,1,0,0
Marinitoga,S_Reduction,Bacteria;Thermotogota;Thermotogae;Petrotogales;Petrotogaceae;Marinitoga,1,0,0
Thermosipho,S_Reduction,Bacteria;Thermotogota;Thermotogae;Thermotogales;Fervidobacteriaceae;Thermosipho,1,0,0
Thermotoga,S_Reduction,Bacteria;Thermotogota;Thermotogae;Thermotogales;Thermotogaceae;Thermotoga,1,0,0